X,Y,highway,name,bus,public_transport,ref,network,check_date,description,gtfs_agency_id,gtfs_agency_name,gtfs_agency_url,gtfs_description,gtfs_id,gtfs_location_type,gtfs_stop_code,license,wheelchair,shelter,gtfs_parent_station,bench,tactile_paving,route_ref
-105.272633,40.0374371,bus_stop,19th St & Joslin Ct,yes,platform,10379,Regional Transportation District,2017/3/4,Vehicles Travelling North,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling North,10379,0,10379,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,,,
-105.272678,40.0403191,bus_stop,19th St & Kalmia Ave,yes,platform,10381,Regional Transportation District,2017/3/4,Vehicles Travelling North,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling North,10381,0,10381,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,,,
-105.27284,40.0413341,bus_stop,19th St & Kalmia Ave,yes,platform,33174,Regional Transportation District,2017/3/4,Vehicles Travelling South,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling South,33174,0,33174,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,,,
-105.272662,40.0439601,bus_stop,19th St & Norwood Ave,yes,platform,10384,Regional Transportation District,2017/3/4,Vehicles Travelling North,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling North,10384,0,10384,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,,,
-105.272825,40.0437721,bus_stop,19th St & Norwood Ave,yes,platform,10385,Regional Transportation District,2017/3/4,Vehicles Travelling South,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling South,10385,0,10385,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,,,
-105.272831,40.0467691,bus_stop,19th St & Poplar Ave,yes,platform,10387,Regional Transportation District,2017/3/4,Vehicles Travelling South,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling South,10387,0,10387,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,,,
-105.272685,40.0470391,bus_stop,19th St & Poplar Ave,yes,platform,10388,Regional Transportation District,2017/3/4,Vehicles Travelling North,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling North,10388,0,10388,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,,,
-105.27285,40.0485731,bus_stop,19th St & Redwood Ave,yes,platform,10390,Regional Transportation District,2017/3/4,Vehicles Travelling South,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling South,10390,0,10390,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,,,
-105.272684,40.0503731,bus_stop,19th St & Riverside Ave,yes,platform,10389,Regional Transportation District,2017/3/4,Vehicles Travelling North,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling North,10389,0,10389,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,,,
-105.272695,40.0261551,bus_stop,19th St & Tyler Rd,yes,platform,10363,Regional Transportation District,2017/3/4,Vehicles Travelling South,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling South,10363,0,10363,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,no,,no,,
-105.27283,40.0525431,bus_stop,19th St & Upland Ave,yes,platform,10391,Regional Transportation District,2017/3/4,Vehicles Travelling South,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling South,10391,0,10391,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,,,
-105.272691,40.0526131,bus_stop,19th St & Upland Ave,yes,platform,10392,Regional Transportation District,2017/3/4,Vehicles Travelling North,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling North,10392,0,10392,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,,,
-105.272817,40.0579851,bus_stop,19th St & Yarmouth Ave,yes,platform,10393,Regional Transportation District,2017/3/4,Vehicles Travelling South,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling South,10393,0,10393,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,,,
-105.271039,40.0237801,bus_stop,20th St & Bluff St,yes,platform,10364,Regional Transportation District,2017/3/4,Vehicles Travelling Southeast,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling Southeast,10364,0,10364,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,,,
-105.270697,40.0232371,bus_stop,20th St & Mapleton Ave,yes,platform,10552,Regional Transportation District,2017/3/4,Vehicles Travelling Northwest,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling Northwest,10552,0,10552,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,,,
-105.271299,40.0247911,bus_stop,20th St & Mesa Dr,yes,platform,10553,Regional Transportation District,2017/3/4,Vehicles Travelling Northwest,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling Northwest,10553,0,10553,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,,,
-105.269753,40.0204881,bus_stop,20th St & Pearl St,yes,platform,20067,Regional Transportation District,2017/3/4,Vehicles Travelling Northwest,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling Northwest,20067,0,20067,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,no,,,no,
-105.269883,40.0203881,bus_stop,20th St & Pearl St,yes,platform,34335,Regional Transportation District,2017/3/4,Vehicles Travelling South,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling South,34335,0,34335,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,no,,,no,
-105.270335,40.0217461,bus_stop,20th St & Pine St,yes,platform,10386,Regional Transportation District,2017/3/4,Vehicles Travelling Southeast,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling Southeast,10386,0,10386,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,,,
-105.270394,40.0223301,bus_stop,20th St & Pine St,yes,platform,10554,Regional Transportation District,2017/3/4,Vehicles Travelling Northwest,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling Northwest,10554,0,10554,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,,,
-105.25381,40.0217671,bus_stop,2100 Block 30th St,yes,platform,10843,Regional Transportation District,2017/3/4,Vehicles Travelling South,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling South,10843,0,10843,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,,,Hop;Bound
-105.225272,40.0215401,bus_stop,2300 Block 55th St,yes,platform,11406,Regional Transportation District,2017/3/4,Vehicles Travelling North,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling North,11406,0,11406,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,,,
-105.218397,40.0250391,bus_stop,2500 Block Central Ave,yes,platform,19700,Regional Transportation District,2017/3/4,Vehicles Travelling North,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling North,19700,0,19700,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,,,
-105.218559,40.0249101,bus_stop,2500 Block Central Ave,yes,platform,19703,Regional Transportation District,2017/3/4,Vehicles Travelling South,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling South,19703,0,19703,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,,,
-105.26104,39.9971201,bus_stop,27th Way / Broadway,yes,platform,33789,Regional Transportation District,2017/3/4,Vehicles Travelling North,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling North,33789,1,33789,http://www.rtd-denver.com/Developer-licenseagreement.shtml,,,,,,
-105.261311,39.9970131,bus_stop,27th Way & Broadway PnR,yes,platform,12438,Regional Transportation District,2017/3/4,Vehicles Travelling Northwest,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling Northwest,12438,0,12438,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,yes,33789,yes,,
-105.260228,39.9981251,bus_stop,27th Way & Moorhead Ave,yes,platform,21439,Regional Transportation District,2017/3/4,Vehicles Travelling South,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling South,21439,0,21439,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,,,
-105.258727,40.0138731,bus_stop,28th St & Arapahoe Ave,yes,platform,26203,Regional Transportation District,2017/3/4,Vehicles Travelling South,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling South,26203,0,26203,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,,,
-105.2583,40.0142551,bus_stop,28th St & Arapahoe Ave,yes,platform,34607,Regional Transportation District,2017/3/4,Vehicles Travelling North,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling North,34607,0,34607,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,,,
-105.2582067,40.0179119,bus_stop,28th St & Canyon Blvd,yes,platform,17989,Regional Transportation District,2017/3/4,Vehicles Travelling North,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling North,17989,0,17989,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,yes,,,,
-105.258239,40.0070851,bus_stop,28th St & College Ave,yes,platform,26205,Regional Transportation District,2017/3/4,Vehicles Travelling North,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling North,26205,0,26205,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,,,
-105.258838,40.0070071,bus_stop,28th St & Colorado Ave,yes,platform,26210,Regional Transportation District,2017/3/4,Vehicles Travelling South,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling South,26210,0,26210,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,,,
-105.258574,40.0325321,bus_stop,28th St & Glenwood Dr,yes,platform,19815,Regional Transportation District,2017/3/4,Vehicles Travelling South,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling South,19815,0,19815,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,,,
-105.258276,40.0320201,bus_stop,28th St & Glenwood Dr,yes,platform,19829,Regional Transportation District,2017/3/4,Vehicles Travelling North,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling North,19829,0,19829,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,,,
-105.258301,40.0371481,bus_stop,28th St & Hwy 119 Farside,yes,platform,19395,Regional Transportation District,2017/3/4,Vehicles Travelling North,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling North,19395,0,19395,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,,,
-105.2582629,40.0352947,bus_stop,28th St & Hwy 119 Nearside,yes,platform,10726,Regional Transportation District,2017/3/4,Vehicles Travelling North,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling North,10726,0,10726,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,yes,,,,
-105.2586679,40.0350799,bus_stop,28th St & Iris Ave,yes,platform,10725,Regional Transportation District,2017/3/4,Vehicles Travelling South,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling South,10725,0,10725,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,yes,,,,
-105.259204,40.0493921,bus_stop,28th St & Jay Rd,yes,platform,25666,Regional Transportation District,2017/3/4,Vehicles Travelling South,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling South,25666,0,25666,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,,,
-105.259096,40.0497421,bus_stop,28th St & Jay Rd,yes,platform,25669,Regional Transportation District,2017/3/4,Vehicles Travelling North,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling North,25669,0,25669,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,,,
-105.258309,40.0398111,bus_stop,28th St & Kalmia Ave,yes,platform,10727,Regional Transportation District,2017/3/4,Vehicles Travelling North,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling North,10727,0,10727,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,,,
-105.258629,40.0395491,bus_stop,28th St & Kalmia Ave,yes,platform,10728,Regional Transportation District,2017/3/4,Vehicles Travelling South,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling South,10728,0,10728,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,,,
-105.258268,40.0257831,bus_stop,28th St & Mapleton Ave,yes,platform,10729,Regional Transportation District,2017/3/4,Vehicles Travelling North,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling North,10729,0,10729,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,,,
-105.2585043,40.0261233,bus_stop,28th St & Mapleton Ave,yes,platform,10730,Regional Transportation District,2017/3/4,Vehicles Travelling South,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling South,10730,0,10730,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,,,
-105.2584,40.0440711,bus_stop,28th St & Palo Pkwy,yes,platform,25667,Regional Transportation District,2017/3/4,Vehicles Travelling North,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling North,25667,0,25667,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,,,
-105.2581778,40.0237909,bus_stop,28th St & Spruce St,yes,platform,25325,Regional Transportation District,2017/3/4,Vehicles Travelling North,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling North,25325,0,25325,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,,,
-105.2585757,40.0235373,bus_stop,28th St & Spruce St,yes,platform,26095,Regional Transportation District,2017/3/4,Vehicles Travelling South,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling South,26095,0,26095,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,,,
-105.258268,40.0295851,bus_stop,28th St & Valmont Rd,yes,platform,17992,Regional Transportation District,2017/3/4,Vehicles Travelling North,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling North,17992,0,17992,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,,,
-105.2585815,40.0284535,bus_stop,28th St & Valmont Rd,yes,platform,19332,Regional Transportation District,2017/3/4,Vehicles Travelling South,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling South,19332,0,19332,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,,,
-105.2585895,40.0195588,bus_stop,28th St & Walnut St,yes,platform,10732,Regional Transportation District,2017/3/4,Vehicles Travelling South,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling South,10732,0,10732,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,,,
-105.258669,40.0426661,bus_stop,28th St & Winding Trail Dr,yes,platform,10734,Regional Transportation District,2017/3/4,Vehicles Travelling South,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling South,10734,0,10734,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,,,
-105.255411,40.0373491,bus_stop,2900 Block Hwy 119,yes,platform,19884,Regional Transportation District,2017/3/4,Vehicles Travelling East,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling East,19884,0,19884,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,,,
-105.256138,40.0192521,bus_stop,29th St & Canyon Blvd,yes,platform,33073,Regional Transportation District,2017/3/4,Vehicles Travelling North,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling North,33073,0,33073,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,,,
-105.256158,40.0192881,bus_stop,29th St & Canyon Blvd,yes,platform,34600,Regional Transportation District,2017/3/4,Vehicles Travelling North,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling North,34600,0,34600,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,,,
-105.256321,40.0193001,bus_stop,29th St & Walnut St,yes,platform,33087,Regional Transportation District,2017/3/4,Vehicles Travelling South,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling South,33087,0,33087,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,,,
-105.256298,40.0192701,bus_stop,29th St & Walnut St,yes,platform,34597,Regional Transportation District,2017/3/4,Vehicles Travelling South,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling South,34597,0,34597,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,,,
-105.253563,40.0152991,bus_stop,30th St & Arapahoe Ave,yes,platform,10834,Regional Transportation District,2017/3/4,Vehicles Travelling North,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling North,10834,0,10834,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,yes,,yes,,
-105.253935,40.0136381,bus_stop,30th St & Arapahoe Ave,yes,platform,25117,Regional Transportation District,2017/3/4,Vehicles Travelling South,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling South,25117,0,25117,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,yes,,
-105.253023,40.0041831,bus_stop,30th St & Aurora Ave,yes,platform,10828,Regional Transportation District,2017/3/4,Vehicles Travelling North,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling North,10828,0,10828,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,no,,,,
-105.253216,40.0031601,bus_stop,30th St & Aurora Ave,yes,platform,25121,Regional Transportation District,2017/3/4,Vehicles Travelling South,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling South,25121,0,25121,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,,,
-105.252947,40.0005961,bus_stop,30th St & Baseline Rd,yes,platform,25122,Regional Transportation District,2017/3/4,Vehicles Travelling North,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling North,25122,0,25122,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,,,
-105.253234,40.0018951,bus_stop,30th St & Bixby Ave,yes,platform,25419,Regional Transportation District,2017/3/4,Vehicles Travelling South,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling South,25419,0,25419,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,,,
-105.253861,40.0159571,bus_stop,30th St & Canyon Blvd,yes,platform,10833,Regional Transportation District,2017/3/4,Vehicles Travelling South,RTD,Regional Transportation District,http://rtd-denver.com,Vehicles Travelling South,10833,0,10833,http://www.rtd-denver.com/Developer-licenseagreement.shtml,yes,,,,,
